player_names_name,player_names_url,player_names_num_nat_name,player_names_basic_bio_name
Rafael Nadal,https://www.atpworldtour.com/en/players/rafael-nadal/n409/overview,1,
Rafael Nadal,https://www.atpworldtour.com/en/players/rafael-nadal/n409/overview,ESP,
,,,32 (1986.06.03)
,,,2001
,,,188lbs(85kg)
,,,"6'1""(185cm)"
,,,"Manacor, Mallorca, Spain"
,,,"Manacor, Mallorca, Spain"
,,,"Left-Handed, Two-Handed Backhand"
,,,"Carlos Moya, Francisco Roig"
Roger Federer,https://www.atpworldtour.com/en/players/roger-federer/f324/overview,2,
Roger Federer,https://www.atpworldtour.com/en/players/roger-federer/f324/overview,SUI,
,,,37 (1981.08.08)
,,,1998
,,,187lbs(85kg)
,,,"6'1""(185cm)"
,,,"Basel, Switzerland"
,,,Switzerland
,,,"Right-Handed, One-Handed Backhand"
,,,"Ivan Ljubicic, Severin Luthi"
Juan Martin del Potro,https://www.atpworldtour.com/en/players/juan-martin-del-potro/d683/overview,3,
Juan Martin del Potro,https://www.atpworldtour.com/en/players/juan-martin-del-potro/d683/overview,ARG,
,,,29 (1988.09.23)
,,,2005
,,,214lbs(97kg)
,,,"6'6""(198cm)"
,,,"Tandil, Argentina"
,,,"Tandil, Argentina"
,,,"Right-Handed, Two-Handed Backhand"
,,,Sebastian Prieto
Alexander Zverev,https://www.atpworldtour.com/en/players/alexander-zverev/z355/overview,4,
Alexander Zverev,https://www.atpworldtour.com/en/players/alexander-zverev/z355/overview,GER,
,,,21 (1997.04.20)
,,,2013
,,,198lbs(90kg)
,,,"6'6""(198cm)"
,,,"Hamburg, Germany"
,,,"Monte Carlo, Monaco"
,,,"Right-Handed, Two-Handed Backhand"
,,,"Ivan Lendl, Alexander Zverev Sr."
Kevin Anderson,https://www.atpworldtour.com/en/players/kevin-anderson/a678/overview,5,
Kevin Anderson,https://www.atpworldtour.com/en/players/kevin-anderson/a678/overview,RSA,
,,,32 (1986.05.18)
,,,2007
,,,205lbs(93kg)
,,,"6'8""(203cm)"
,,,"Johannesburg, South Africa"
,,,"Gulf Stream, FL, USA"
,,,"Right-Handed, Two-Handed Backhand"
,,,Brad Stine
Novak Djokovic,https://www.atpworldtour.com/en/players/novak-djokovic/d643/overview,6,
Novak Djokovic,https://www.atpworldtour.com/en/players/novak-djokovic/d643/overview,SRB,
,,,31 (1987.05.22)
,,,2003
,,,170lbs(77kg)
,,,"6'2""(188cm)"
,,,"Belgrade, Serbia"
,,,"Monte Carlo, Monaco"
,,,"Right-Handed, Two-Handed Backhand"
,,,Marian Vajda
Marin Cilic,https://www.atpworldtour.com/en/players/marin-cilic/c977/overview,7,
Marin Cilic,https://www.atpworldtour.com/en/players/marin-cilic/c977/overview,CRO,
,,,29 (1988.09.28)
,,,2005
,,,196lbs(89kg)
,,,"6'6""(198cm)"
,,,"Medjugorje, Bosnia-Herzegovina"
,,,"Monte Carlo, Monaco"
,,,"Right-Handed, Two-Handed Backhand"
,,,Ivan Cinkus
Grigor Dimitrov,https://www.atpworldtour.com/en/players/grigor-dimitrov/d875/overview,8,
Grigor Dimitrov,https://www.atpworldtour.com/en/players/grigor-dimitrov/d875/overview,BUL,
